name,author,date,stars,title,helpful_yes,helpful_no,text;;;
"Salted Caramel Core,Jarrett,2017-08-22,4,Almost perfect!,0,1,""Ok so this was my first 'core' Ben and Jerry's. It was awesome. I love the experience of mixing the ice cream with the caramel. But where were the blondies? They were few and far between each bite. I was very excited about it everytime I managed to find a small piece. Also, are the blondies made by Greyston Bakery?""";;;
Salted Caramel Core,Shotgunshell,2018-01-22,5,Best ice cream in the history of cream!,0,1,My husband brought it home a few months ago and now im addicted! It's so good i as in hospital having brain surgery and it's all I wanted! I give up meals so i can eat it. I don't like chocolate so it's so hard to find blonde brownies and salted carmel without chocolate. If I had a last meal it would be it!;;;
"Salted Caramel Core,PhoenixRises,2019-09-03,5,My Favorite Core Ice Cream!,0,1,""This one is my favorite out of the cores! I'm a lover of caramel and a lover of blondie brownies so of course this is a win! I can't see how the average rating is only 3.5. I don't get it. I don't know what people are tasting, because this is delicious. PLEASE don't get rid of this flavor!! I NEED it!""";;;
"Salted Caramel Core,parkesea,2017-11-12,5,SO GOOD,0,1,""I LOVE this flavour. Salted caramel and blonde brownies are my favourite thing, and to find them in ice cream was a dream come true. The only thing I wish was different: I know """"Salted"""" Caramel is the name of the flavour, but it really was too salty - so much so that I found it kind of off-putting.""";;;
"Salted Caramel Core,Corbin,2017-10-04,2,""Great potential, but lacking in brownies."",0,1,""Tastes great and has so much potential, but the 6 pints of ice cream that I bought-all had a core of caramel with a couple of blonde brownies but nothing like I expected. It fell short of my expectations and I can't justify spending $5 a pint for ice cream that isn't chock-full of gooey goodness.""";;;
Salted Caramel Core,Raee,2020-04-22,3,Finally something not chocolate!,0,0,This was a dream come true when I found it in stores. I was so excited!! I barely made it home. BUT... disappointment hit me in the face when I almost died at how salty the caramel is. Wow. Not enough brownies. I guess I'll keep searching for my perfect flavor. I wish you could Exchange icecream.;;;
Salted Caramel Core,jasg517,2019-03-31,4,Tastes Great but Caramel is too Salty,0,1,I got this a few days ago just to try. I really loved it!! The blondie brownies are so yummy. I really enjoyed the ice cream overall. However the salted caramel core was a little too salty for the ice cream. I couldn’t really eat all the caramel with the ice cream like I wanted too;;;
"Salted Caramel Core,Abp87,2020-07-10,5,Can’t get enough of this ice cream,0,0,""This ice cream. Y’all. This ice cream. The perfectly salted gooey caramel, the chewy chunks of blondie... ermahgerd. The worst part of this is we can barely find it anymore. BEN AND JERRY I swear to you if you get rid of this in the middle of a pandemic... I will never forgive you.""";;;
"Salted Caramel Core,Ben123,2017-05-20,4,""Really, Really GOOD"",0,1,""I am writing this review as I enjoy a pint of this very ice cream. It is delicious and the flavors go very well together. The only problem was, though, that the caramel was waaay too salty, so I ended up eating around it. Nontheless, it was really good and I hope to buy it again.""";;;
Salted Caramel Core,sarah7,2017-10-25,3,good but can use a little help,0,1,I think the sweet cream and caramel are great but I have bought this a couple times and the brownies just are off on taste. I feel like choc brownies would be better or to even leave them out. Far from gross but not as good as other ice cream which is a bummer with the price.;;;
"Salted Caramel Core,Kyure,2020-04-23,5,Perfection!!,0,0,""By far my favorite pint ever! Not to mention, SUPER addicting!!! The blond brownies are the beeeeessst, and with caramel? Truly my only companion in this quarantine, so i stocked up. World War IV could break out and as long as I have my daily B&J pints I’d survive just fine.""";;;
Salted Caramel Core,Jewels30,2017-06-04,1,Caramel Core????,0,1,I bought this for the caramel core the first time and it was great. The second time with was a dollop of caramel on top. The third time an even smaller dollop. If you like just vanillia ice cream a little bit of caramel this is the ice cream for you. I am very disappointed.;;;
Salted Caramel Core,Newks,2020-04-25,5,It’s my favorite!,0,0,I bought this about a month ago and have gotten two more containers since. I would not say it’s a flavor for everyone but I love it. I love salted Carmel. The salt pairs nicely with the sweet ice cream and blondies! But if you don’t like salty sweetness this is not for you.;;;
"Salted Caramel Core,MicktyMac,2018-12-15,4,Perfect,0,1,""I am allergic to coco beans so finding a tasty ice cream with out any chocolate can become quite the hassle. When I, thankfully, came across this ice cream I was over the moon. The only problem I have with it is that I can't find it in any stores when I go search for it.""";;;
